base_currency,target_currency,rate,rate_date
USD,AUD,1.5161,2025-10-02
USD,AUD,1.5142,2025-10-03
USD,AUD,1.5175,2025-10-05
USD,AUD,1.5112,2025-10-06
USD,AUD,1.5194,2025-10-07
USD,AUD,1.5183,2025-10-08
USD,AUD,1.5253,2025-10-09
USD,AUD,1.5451,2025-10-10
USD,AUD,1.5352,2025-10-12
USD,AUD,1.535,2025-10-13
USD,AUD,1.5418,2025-10-14
USD,AUD,1.5354,2025-10-15
USD,AUD,1.5422,2025-10-16
USD,AUD,1.5392,2025-10-17
USD,AUD,1.5389,2025-10-19
USD,AUD,1.5354,2025-10-20
USD,AUD,1.5413,2025-10-21
USD,AUD,1.5413,2025-10-22
USD,AUD,1.5355,2025-10-23
USD,AUD,1.5353,2025-10-24
USD,AUD,1.5291,2025-10-26
USD,AUD,1.5252,2025-10-27
USD,AUD,1.5186,2025-10-28
USD,AUD,1.5211,2025-10-29
USD,AUD,1.5256,2025-10-30
USD,AUD,1.5277,2025-10-31
USD,AUD,1.5272,2025-11-02
USD,AUD,1.5296,2025-11-03
USD,AUD,1.541,2025-11-04
USD,AUD,1.5371,2025-11-05
USD,AUD,1.5433,2025-11-06
USD,AUD,1.5399,2025-11-07
USD,AUD,1.5396,2025-11-09
USD,AUD,1.5301,2025-11-10
USD,AUD,1.532,2025-11-11
USD,AUD,1.529,2025-11-12
USD,AUD,1.5318,2025-11-13
USD,AUD,1.5298,2025-11-14
USD,AUD,1.5298,2025-11-16
USD,AUD,1.5399,2025-11-17
USD,AUD,1.5367,2025-11-18
USD,AUD,1.5435,2025-11-19
USD,AUD,1.5528,2025-11-20
USD,AUD,1.549,2025-11-21
USD,AUD,1.5477,2025-11-23
USD,AUD,1.5469,2025-11-24
USD,AUD,1.5459,2025-11-25
USD,AUD,1.5343,2025-11-26
USD,AUD,1.5319,2025-11-27
